category, name, film, winner, 
MUSIC (Song), Music by Ernesto Lecuona; Lyrics by Kim Gannon, Always in My Heart, False, 
MUSIC (Song), Music by Jerome Kern; Lyrics by Johnny Mercer, You Were Never Lovelier, False, 
MUSIC (Song), Music by Burton Lane; Lyrics by Ralph Freed, Babes on Broadway, False, 
MUSIC (Song), Music by Jule Styne; Lyrics by Sammy Cahn, Youth on Parade, False, 
MUSIC (Song), Music by Harry Warren; Lyrics by Mack Gordon, Orchestra Wives, False, 
MUSIC (Song), Music by Frank Churchill; Lyrics by Larry Morey, Bambi, False, 
MUSIC (Song), Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright, Flying with Music, False, 
MUSIC (Song), Music by Gene de Paul; Lyrics by Don Raye, Hellzapoppin', False, 
MUSIC (Song), Music by Harry Revel; Lyrics by Mort Greene, The Mayor of 44th Street, False, 
MUSIC (Song), Music and Lyrics by Irving Berlin, Holiday Inn, True, 
OUTSTANDING MOTION PICTURE, Ortus, The Invaders, False, 
OUTSTANDING MOTION PICTURE, Warner Bros., Kings Row, False, 
OUTSTANDING MOTION PICTURE, Mercury, The Magnificent Ambersons, False, 
OUTSTANDING MOTION PICTURE, Metro-Goldwyn-Mayer, Mrs. Miniver, True, 
OUTSTANDING MOTION PICTURE, 20th Century-Fox, The Pied Piper, False, 
OUTSTANDING MOTION PICTURE, Samuel Goldwyn Productions, The Pride of the Yankees, False, 
OUTSTANDING MOTION PICTURE, Metro-Goldwyn-Mayer, Random Harvest, False, 
OUTSTANDING MOTION PICTURE, Columbia, The Talk of the Town, False, 
OUTSTANDING MOTION PICTURE, Paramount, Wake Island, False, 
OUTSTANDING MOTION PICTURE, Warner Bros., Yankee Doodle Dandy, False, 
SHORT SUBJECT (Cartoon), 20th Century-Fox, All Out for 'V', False, 
SHORT SUBJECT (Cartoon), Metro-Goldwyn-Mayer, Blitz Wolf, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Der Fuehrer's Face, True, 
SHORT SUBJECT (Cartoon), "Walter Lantz,  Producer", Juke Box Jamboree, False, 
SHORT SUBJECT (Cartoon), "Leon Schlesinger,  Producer", Pigs in a Polka, False, 
SHORT SUBJECT (Cartoon), "George Pal,  Producer", Tulips Shall Grow, False, 
SHORT SUBJECT (One-reel), 20th Century-Fox, Desert Wonderland, False, 
SHORT SUBJECT (One-reel), "Pete Smith,  Producer", Marines in the Making, False, 
SHORT SUBJECT (One-reel), Paramount, Speaking of Animals and Their Families, True, 
SHORT SUBJECT (One-reel), Warner Bros., United States Marine Band, False, 
SHORT SUBJECT (Two-reel), Warner Bros., Beyond the Line of Duty, True, 
SHORT SUBJECT (Two-reel), Metro-Goldwyn-Mayer, Don't Talk, False, 
SHORT SUBJECT (Two-reel), RKO Radio, Private Smith of the U.S.A., False, 
SOUND RECORDING, "Universal Studio Sound Department,  Bernard B. Brown,  Sound Director", Arabian Nights, False, 
SOUND RECORDING, "Walt Disney Studio Sound Department,  Sam Slyfield,  Sound Director", Bambi, False, 
SOUND RECORDING, "Republic Studio Sound Department,  Daniel Bloomberg,  Sound Director", Flying Tigers, False, 
SOUND RECORDING, "Sound Service,  Inc.,  Jack Whitney,  Sound Director", Friendly Enemies, False, 
SOUND RECORDING, "RCA Sound,  James Fields,  Sound Director", The Gold Rush, False, 
SOUND RECORDING, "Metro-Goldwyn-Mayer Studio Sound Department,  Douglas Shearer,  Sound Director", Mrs. Miniver, False, 
SOUND RECORDING, "RKO Radio Studio Sound Department,  Steve Dunn,  Sound Director", Once upon a Honeymoon, False, 
SOUND RECORDING, "Samuel Goldwyn Studio Sound Department,  Thomas T. Moulton,  Sound Director", The Pride of the Yankees, False, 
SOUND RECORDING, "Paramount Studio Sound Department,  Loren Ryder,  Sound Director", Road to Morocco, False, 
SOUND RECORDING, "20th Century-Fox Studio Sound Department,  E. H. Hansen,  Sound Director", This above All, False, 
SOUND RECORDING, "Warner Bros. Studio Sound Department,  Nathan Levinson,  Sound Director", Yankee Doodle Dandy, True, 
SOUND RECORDING, "Columbia Studio Sound Department,  John Livadary,  Sound Director", You Were Never Lovelier, False, 
SPECIAL EFFECTS, "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,  George Leverett", The Black Swan, False, 
SPECIAL EFFECTS, Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson, Desperate Journey, False, 
SPECIAL EFFECTS, Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg, Flying Tigers, False, 
SPECIAL EFFECTS, Photographic Effects by John Fulton; Sound Effects by Bernard B. Brown, Invisible Agent, False, 
SPECIAL EFFECTS, Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth, Jungle Book, False, 
SPECIAL EFFECTS, "Photographic Effects by A. Arnold Gillespie,  Warren Newcombe; Sound Effects by Douglas Shearer", Mrs. Miniver, False, 
SPECIAL EFFECTS, Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, The Navy Comes Through, False, 
SPECIAL EFFECTS, Photographic Effects by Ronald Neame; Sound Effects by C. C. Stevens, One of Our Aircraft Is Missing, False, 
SPECIAL EFFECTS, "Photographic Effects by Jack Cosgrove,  Ray Binger; Sound Effects by Thomas T. Moulton", The Pride of the Yankees, False, 
SPECIAL EFFECTS, "Photographic Effects by Gordon Jennings,  Farciot Edouart,  William L. Pereira; Sound Effects by Louis Mesenkop", Reap the Wild Wind, True, 
WRITING (Original Motion Picture Story), Irving Berlin, Holiday Inn, False, 
WRITING (Original Motion Picture Story), Emeric Pressburger, The Invaders, True, 
WRITING (Original Motion Picture Story), Paul Gallico, The Pride of the Yankees, False, 
WRITING (Original Motion Picture Story), Sidney Harmon, The Talk of the Town, False, 
WRITING (Original Motion Picture Story), Robert Buckner, Yankee Doodle Dandy, False, 
WRITING (Original Screenplay), "Michael Powell,  Emeric Pressburger", One of Our Aircraft Is Missing, False, 
WRITING (Original Screenplay), "Frank Butler,  Don Hartman", Road to Morocco, False, 
WRITING (Original Screenplay), "W. R. Burnett,  Frank Butler", Wake Island, False, 
WRITING (Original Screenplay), George Oppenheimer, The War against Mrs. Hadley, False, 
WRITING (Original Screenplay), "Ring Lardner,  Jr.,  Michael Kanin", Woman of the Year, True, 
WRITING (Screenplay), "Rodney Ackland,  Emeric Pressburger", The Invaders, False, 
WRITING (Screenplay), "Arthur Wimperis,  George Froeschel,  James Hilton,  Claudine West", Mrs. Miniver, True, 
WRITING (Screenplay), "Jo Swerling,  Herman J. Mankiewicz", The Pride of the Yankees, False, 
WRITING (Screenplay), "Claudine West,  George Froeschel,  Arthur Wimperis", Random Harvest, False, 
WRITING (Screenplay), "Irwin Shaw,  Sidney Buchman", The Talk of the Town, False, 
SPECIAL AWARD,  Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry., , True, 
SPECIAL AWARD,  Noel Coward for his outstanding production achievement in In Which We Serve., , True, 
SPECIAL AWARD, " Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.", , True, 
IRVING G. THALBERG MEMORIAL AWARD, Sidney Franklin, , True, 
ACTOR, Humphrey Bogart, Casablanca, False, 
ACTOR, Gary Cooper, For Whom the Bell Tolls, False, 
ACTOR, Paul Lukas, Watch on the Rhine, True, 
ACTOR, Walter Pidgeon, Madame Curie, False, 
ACTOR, Mickey Rooney, The Human Comedy, False, 
ACTOR IN A SUPPORTING ROLE, Charles Bickford, The Song of Bernadette, False, 
ACTOR IN A SUPPORTING ROLE, Charles Coburn, The More the Merrier, True, 
ACTOR IN A SUPPORTING ROLE, J. Carrol Naish, Sahara, False, 
ACTOR IN A SUPPORTING ROLE, Claude Rains, Casablanca, False, 
ACTOR IN A SUPPORTING ROLE, Akim Tamiroff, For Whom the Bell Tolls, False, 
ACTRESS, Jean Arthur, The More the Merrier, False, 
ACTRESS, Ingrid Bergman, For Whom the Bell Tolls, False, 
ACTRESS, Joan Fontaine, The Constant Nymph, False, 
ACTRESS, Greer Garson, Madame Curie, False, 
ACTRESS, Jennifer Jones, The Song of Bernadette, True, 
ACTRESS IN A SUPPORTING ROLE, Gladys Cooper, The Song of Bernadette, False, 
ACTRESS IN A SUPPORTING ROLE, Paulette Goddard, So Proudly We Hail!, False, 
ACTRESS IN A SUPPORTING ROLE, Katina Paxinou, For Whom the Bell Tolls, True, 
ACTRESS IN A SUPPORTING ROLE, Anne Revere, The Song of Bernadette, False, 
ACTRESS IN A SUPPORTING ROLE, Lucile Watson, Watch on the Rhine, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Hans Dreier,  Ernst Fegte;  Interior Decoration:  Bertram Granger", Five Graves to Cairo, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Albert S. D'Agostino,  Carroll Clark;  Interior Decoration:  Darrell Silvera,  Harley Miller", Flight for Freedom, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Cedric Gibbons,  Paul Groesse;  Interior Decoration:  Edwin B. Willis,  Hugh Hunt", Madame Curie, False, 
ART DIRECTION (Black-and-White), Art Direction:  Carl Weyl;  Interior Decoration:  George J. Hopkins, Mission to Moscow, False, 
ART DIRECTION (Black-and-White), Art Direction:  Perry Ferguson;  Interior Decoration:  Howard Bristol, The North Star, False, 
ART DIRECTION (Black-and-White), "Art Direction:  James Basevi,  William Darling;  Interior Decoration:  Thomas Little", The Song of Bernadette, True, 
ART DIRECTION (Color), "Art Direction:  Hans Dreier,  Haldane Douglas;  Interior Decoration:  Bertram Granger", For Whom the Bell Tolls, False, 
ART DIRECTION (Color), "Art Direction:  James Basevi,  Joseph C. Wright;  Interior Decoration:  Thomas Little", The Gang's All Here, False, 
ART DIRECTION (Color), "Art Direction:  John B. Goodman,  Alexander Golitzen;  Interior Decoration:  Russell A. Gausman,  Ira S. Webb", Phantom of the Opera, True, 
ART DIRECTION (Color), "Art Direction:  John Hughes,  Lt. John Koenig;  Interior Decoration:  George J. Hopkins", This Is the Army, False, 
ART DIRECTION (Color), "Art Direction:  Cedric Gibbons,  Daniel Cathcart;  Interior Decoration:  Edwin B. Willis,  Jacques Mersereau", Thousands Cheer, False, 
CINEMATOGRAPHY (Black-and-White), "James Wong Howe,  Elmer Dyer,  Charles Marshall", Air Force, False, 
CINEMATOGRAPHY (Black-and-White), Arthur Edeson, Casablanca, False, 
CINEMATOGRAPHY (Black-and-White), Tony Gaudio, Corvette K-225, False, 
CINEMATOGRAPHY (Black-and-White), John Seitz, Five Graves to Cairo, False, 
CINEMATOGRAPHY (Black-and-White), Harry Stradling, The Human Comedy, False, 
CINEMATOGRAPHY (Black-and-White), Joseph Ruttenberg, Madame Curie, False, 
CINEMATOGRAPHY (Black-and-White), James Wong Howe, The North Star, False, 
CINEMATOGRAPHY (Black-and-White), Rudolph Mat├⌐, Sahara, False, 
CINEMATOGRAPHY (Black-and-White), Charles Lang, So Proudly We Hail!, False, 
CINEMATOGRAPHY (Black-and-White), Arthur Miller, The Song of Bernadette, True, 
CINEMATOGRAPHY (Color), Ray Rennahan, For Whom the Bell Tolls, False, 
CINEMATOGRAPHY (Color), Edward Cronjager, Heaven Can Wait, False, 
CINEMATOGRAPHY (Color), "Charles G. Clarke,  Allen Davey", "Hello,  Frisco,  Hello", False, 
CINEMATOGRAPHY (Color), Leonard Smith, Lassie Come Home, False, 
CINEMATOGRAPHY (Color), "Hal Mohr,  W. Howard Greene", Phantom of the Opera, True, 
CINEMATOGRAPHY (Color), George Folsey, Thousands Cheer, False, 
DIRECTING, Michael Curtiz, Casablanca, True, 
DIRECTING, Ernst Lubitsch, Heaven Can Wait, False, 
DIRECTING, Clarence Brown, The Human Comedy, False, 
DIRECTING, George Stevens, The More the Merrier, False, 
DIRECTING, Henry King, The Song of Bernadette, False, 
DOCUMENTARY (Feature), United States Army, Baptism of Fire, False, 
DOCUMENTARY (Feature), United States Department of War Special Service Division, The Battle of Russia, False, 
DOCUMENTARY (Feature), British Ministry of Information, Desert Victory, True, 
DOCUMENTARY (Feature), United States Army Pictorial Service, For God and Country, False, 
DOCUMENTARY (Feature), United States Army Pictorial Service, Report from the Aleutians, False, 
DOCUMENTARY (Feature), British Ministry of Information, Silent Village, False, 
DOCUMENTARY (Feature), United States Office of Strategic Services Field Photographic Bureau, War Department Report, False, 
DOCUMENTARY (Feature), "Negro Marches On,  Inc.", "We've Come a Long,  Long Way", False, 
DOCUMENTARY (Short Subject), Australian Department of Information Film Unit, Bismarck Convoy Smashed, False, 
DOCUMENTARY (Short Subject), RKO Radio, Children of Mars, False, 
DOCUMENTARY (Short Subject), United States Office of War Information Domestic Motion Picture Bureau, Day of Battle, False, 
DOCUMENTARY (Short Subject), United States Navy, December 7th, True, 
DOCUMENTARY (Short Subject), National Film Board of Canada, The Dutch Tradition, False, 
DOCUMENTARY (Short Subject), British Ministry of Information, Kill or Be Killed, False, 
DOCUMENTARY (Short Subject), National Film Board of Canada, The Labor Front, False, 
DOCUMENTARY (Short Subject), Polish Information Centre, Land of My Mother, False, 
DOCUMENTARY (Short Subject), United States Army 4th Signal Photographic Unit, Letter from Livingston, False, 
DOCUMENTARY (Short Subject), United States Army Pictorial Service, Life Line, False, 
DOCUMENTARY (Short Subject), Metro-Goldwyn-Mayer, Plan for Destruction, False, 
DOCUMENTARY (Short Subject), United States Department of War, The Rear Gunner, False, 
DOCUMENTARY (Short Subject), Union of South Africa, Servant of a Nation, False, 
DOCUMENTARY (Short Subject), United States Office of War Information Overseas Motion Picture Bureau, Swedes in America, False, 
DOCUMENTARY (Short Subject), United States Coast Guard, Task Force, False, 
DOCUMENTARY (Short Subject), "Walter Wanger,  Producer", To the People of the United States, False, 
DOCUMENTARY (Short Subject), United States Navy Bureau of Aeronautics, Tomorrow We Fly, False, 
DOCUMENTARY (Short Subject), Warner Bros., The Voice That Thrilled the World, False, 
DOCUMENTARY (Short Subject), "Walt Disney,  Producer", Water--Friend or Enemy, False, 
DOCUMENTARY (Short Subject), United States Army Air Force 1st Motion Picture Unit, Wings Up, False, 
DOCUMENTARY (Short Subject), The March of Time, Youth in Crisis, False, 
FILM EDITING, George Amy, Air Force, True, 
FILM EDITING, Owen Marks, Casablanca, False, 
FILM EDITING, Doane Harrison, Five Graves to Cairo, False, 
FILM EDITING, "Sherman Todd,  John Link", For Whom the Bell Tolls, False, 
FILM EDITING, Barbara McLean, The Song of Bernadette, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), "Frank Skinner,  Hans J. Salter", The Amazing Mrs. Holliday, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Max Steiner, Casablanca, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), "Morris Stoloff,  Louis Gruenberg", Commandos Strike at Dawn, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), "Roy Webb,  C. Bakaleinikoff", The Fallen Sparrow, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Victor Young, For Whom the Bell Tolls, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Hanns Eisler, Hangmen Also Die, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Phil Boutelje, Hi Diddle Diddle, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Walter Scharf, In Old Oklahoma, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Leigh Harline, Johnny Come Lately, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Gerard Carbonara, The Kansan, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Arthur Lange, Lady of Burlesque, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Herbert Stothart, Madame Curie, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Dimitri Tiomkin, The Moon and Sixpence, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Aaron Copland, The North Star, False, 
MUSIC (Music Score of a Dramatic or Comedy Picture), Alfred Newman, The Song of Bernadette, True, 
MUSIC (Music Score of a Dramatic or Comedy Picture), "Edward H. Plumb,  Paul J. Smith,  Oliver G. Wallace", Victory through Air Power, False, 
MUSIC (Scoring of a Musical Picture), Alfred Newman, Coney Island, False, 
MUSIC (Scoring of a Musical Picture), Walter Scharf, Hit Parade of 1943, False, 
MUSIC (Scoring of a Musical Picture), Edward Ward, Phantom of the Opera, False, 
MUSIC (Scoring of a Musical Picture), "Charles Wolcott,  Edward H. Plumb,  Paul J. Smith", Saludos Amigos, False, 
MUSIC (Scoring of a Musical Picture), Leigh Harline, The Sky's the Limit, False, 
MUSIC (Scoring of a Musical Picture), Morris Stoloff, Something to Shout About, False, 
MUSIC (Scoring of a Musical Picture), Frederic E. Rich, Stage Door Canteen, False, 
MUSIC (Scoring of a Musical Picture), Robert Emmett Dolan, Star Spangled Rhythm, False, 
MUSIC (Scoring of a Musical Picture), Ray Heindorf, This Is the Army, True, 
MUSIC (Scoring of a Musical Picture), Herbert Stothart, Thousands Cheer, False, 
MUSIC (Song), Music by Jule Styne; Lyrics by Harold Adamson, Hit Parade of 1943, False, 
MUSIC (Song), Music by Harold Arlen; Lyrics by E. Y. Harburg, Cabin in the Sky, False, 
MUSIC (Song), Music by Harold Arlen; Lyrics by Johnny Mercer, The Sky's the Limit, False, 
MUSIC (Song), Music by Charles Wolcott; Lyrics by Ned Washington, Saludos Amigos, False, 
MUSIC (Song), Music by Jimmy McHugh; Lyrics by Herb Magidson, Hers to Hold, False, 
MUSIC (Song), Music by Harold Arlen; Lyrics by Johnny Mercer, Star Spangled Rhythm, False, 
MUSIC (Song), Music by Arthur Schwartz; Lyrics by Frank Loesser, Thank Your Lucky Stars, False, 
MUSIC (Song), Music by James Monaco; Lyrics by Al Dubin, Stage Door Canteen, False, 
MUSIC (Song), Music and Lyrics by Cole Porter, Something to Shout About, False, 
MUSIC (Song), Music by Harry Warren; Lyrics by Mack Gordon, "Hello,  Frisco,  Hello", True, 
OUTSTANDING MOTION PICTURE, Warner Bros., Casablanca, True, 
OUTSTANDING MOTION PICTURE, Paramount, For Whom the Bell Tolls, False, 
OUTSTANDING MOTION PICTURE, 20th Century-Fox, Heaven Can Wait, False, 
OUTSTANDING MOTION PICTURE, Metro-Goldwyn-Mayer, The Human Comedy, False, 
OUTSTANDING MOTION PICTURE, Two Cities, In Which We Serve, False, 
OUTSTANDING MOTION PICTURE, Metro-Goldwyn-Mayer, Madame Curie, False, 
OUTSTANDING MOTION PICTURE, Columbia, The More the Merrier, False, 
OUTSTANDING MOTION PICTURE, 20th Century-Fox, The Ox-Bow Incident, False, 
OUTSTANDING MOTION PICTURE, 20th Century-Fox, The Song of Bernadette, False, 
OUTSTANDING MOTION PICTURE, Warner Bros., Watch on the Rhine, False, 
SHORT SUBJECT (Cartoon), "Walter Lantz,  Producer", The Dizzy Acrobat, False, 
SHORT SUBJECT (Cartoon), "George Pal,  Producer", The 500 Hats of Bartholomew Cubbins, False, 
SHORT SUBJECT (Cartoon), "Leon Schlesinger,  Producer", Greetings Bait!, False, 
SHORT SUBJECT (Cartoon), "Dave Fleischer,  Producer", Imagination, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Reason and Emotion, False, 
SHORT SUBJECT (Cartoon), "Frederick Quimby,  Producer", Yankee Doodle Mouse, True, 
SHORT SUBJECT (One-reel), "Grantland Rice,  Producer", Amphibious Fighters, True, 
SHORT SUBJECT (One-reel), "Gordon Hollingshead,  Producer", Cavalcade of Dance with Veloz and Yolanda, False, 
SHORT SUBJECT (One-reel), "Edmund Reek,  Producer", Champions Carry On, False, 
SHORT SUBJECT (One-reel), "Ralph Staub,  Producer", Hollywood in Uniform, False, 
SHORT SUBJECT (One-reel), "Pete Smith,  Producer", Seeing Hands, False, 
SHORT SUBJECT (Two-reel), "Jerry Bresler and Sam Coslow,  Producers", Heavenly Music, True, 
SHORT SUBJECT (Two-reel), "Frederic Ullman,  Jr.,  Producer", Letter to a Hero, False, 
SHORT SUBJECT (Two-reel), "Walter MacEwen,  Producer", Mardi Gras, False, 
SHORT SUBJECT (Two-reel), "Gordon Hollingshead,  Producer", Women at War, False, 
SOUND RECORDING, "Sound Service,  Inc.,  Jack Whitney,  Sound Director", Hangmen Also Die, False, 
SOUND RECORDING, "Republic Studio Sound Department,  Daniel J. Bloomberg,  Sound Director", In Old Oklahoma, False, 
SOUND RECORDING, "Metro-Goldwyn-Mayer Studio Sound Department,  Douglas Shearer,  Sound Director", Madame Curie, False, 
SOUND RECORDING, "Samuel Goldwyn Studio Sound Department,  Thomas T. Moulton,  Sound Director", The North Star, False, 
SOUND RECORDING, "Universal Studio Sound Department,  Bernard B. Brown,  Sound Director", Phantom of the Opera, False, 
SOUND RECORDING, "Paramount Studio Sound Department,  Loren L. Ryder,  Sound Director", Riding High, False, 
SOUND RECORDING, "Columbia Studio Sound Department,  John Livadary,  Sound Director", Sahara, False, 
SOUND RECORDING, "Walt Disney Studio Sound Department,  C. O. Slyfield,  Sound Director", Saludos Amigos, False, 
SOUND RECORDING, "RCA Sound,  J. L. Fields,  Sound Director", So This Is Washington, False, 
SOUND RECORDING, "20th Century-Fox Studio Sound Department,  E. H. Hansen,  Sound Director", The Song of Bernadette, False, 
SOUND RECORDING, "Warner Bros. Studio Sound Department,  Nathan Levinson,  Sound Director", This Is the Army, False, 
SOUND RECORDING, "RKO Radio Studio Sound Department,  Stephen Dunn,  Sound Director", This Land Is Mine, True, 
SPECIAL EFFECTS, "Photographic Effects by Hans Koenekamp,  Rex Wimpy; Sound Effects by Nathan Levinson", Air Force, False, 
SPECIAL EFFECTS, "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart,  Roy Granville", Bombardier, False, 
SPECIAL EFFECTS, Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, Crash Dive, True, 
SPECIAL EFFECTS, "Photographic Effects by Clarence Slifer,  R. O. Binger; Sound Effects by Thomas T. Moulton", The North Star, False, 
SPECIAL EFFECTS, "Photographic Effects by Gordon Jennings,  Farciot Edouart; Sound Effects by George Dutton", So Proudly We Hail!, False, 
SPECIAL EFFECTS, "Photographic Effects by A. Arnold Gillespie,  Donald Jahraus; Sound Effects by Michael Steinore", Stand By for Action, False, 
WRITING (Original Motion Picture Story), Guy Gilpatric, Action in the North Atlantic, False, 
WRITING (Original Motion Picture Story), Steve Fisher, Destination Tokyo, False, 
WRITING (Original Motion Picture Story), William Saroyan, The Human Comedy, True, 
WRITING (Original Motion Picture Story), "Robert Russell,  Frank Ross", The More the Merrier, False, 
WRITING (Original Motion Picture Story), Gordon McDonell, Shadow of a Doubt, False, 
WRITING (Original Screenplay), Dudley Nichols, Air Force, False, 
WRITING (Original Screenplay), Noel Coward, In Which We Serve, False, 
WRITING (Original Screenplay), Lillian Hellman, The North Star, False, 
WRITING (Original Screenplay), Norman Krasna, Princess O'Rourke, True, 
WRITING (Original Screenplay), Allan Scott, So Proudly We Hail!, False, 
WRITING (Screenplay), "Julius J. Epstein,  Philip G. Epstein,  Howard Koch", Casablanca, True, 
WRITING (Screenplay), Nunnally Johnson, Holy Matrimony, False, 
WRITING (Screenplay), "Robert Russell,  Frank Ross,  Richard Flournoy,  Lewis R. Foster", The More the Merrier, False, 
WRITING (Screenplay), George Seaton, The Song of Bernadette, False, 
WRITING (Screenplay), Dashiell Hammett, Watch on the Rhine, False, 
SPECIAL AWARD,  George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons., , True, 
IRVING G. THALBERG MEMORIAL AWARD, Hal B. Wallis, , True, 
ACTOR, Charles Boyer, Gaslight, False, 
ACTOR, Bing Crosby, Going My Way, True, 
ACTOR, Barry Fitzgerald, Going My Way, False, 
ACTOR, Cary Grant, None but the Lonely Heart, False, 
ACTOR, Alexander Knox, Wilson, False, 
ACTOR IN A SUPPORTING ROLE, Hume Cronyn, The Seventh Cross, False, 
ACTOR IN A SUPPORTING ROLE, Barry Fitzgerald, Going My Way, True, 
ACTOR IN A SUPPORTING ROLE, Claude Rains, Mr. Skeffington, False, 
ACTOR IN A SUPPORTING ROLE, Clifton Webb, Laura, False, 
ACTOR IN A SUPPORTING ROLE, Monty Woolley, Since You Went Away, False, 
ACTRESS, Ingrid Bergman, Gaslight, True, 
ACTRESS, Claudette Colbert, Since You Went Away, False, 
ACTRESS, Bette Davis, Mr. Skeffington, False, 
ACTRESS, Greer Garson, Mrs. Parkington, False, 
ACTRESS, Barbara Stanwyck, Double Indemnity, False, 
ACTRESS IN A SUPPORTING ROLE, Ethel Barrymore, None but the Lonely Heart, True, 
ACTRESS IN A SUPPORTING ROLE, Jennifer Jones, Since You Went Away, False, 
ACTRESS IN A SUPPORTING ROLE, Angela Lansbury, Gaslight, False, 
ACTRESS IN A SUPPORTING ROLE, Aline MacMahon, Dragon Seed, False, 
ACTRESS IN A SUPPORTING ROLE, Agnes Moorehead, Mrs. Parkington, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Lionel Banks,  Walter Holscher;  Interior Decoration:  Joseph Kish", Address Unknown, False, 
ART DIRECTION (Black-and-White), Art Direction:  John J. Hughes;  Interior Decoration:  Fred MacLean, The Adventures of Mark Twain, False, 
ART DIRECTION (Black-and-White), Art Direction:  Perry Ferguson;  Interior Decoration:  Julia Heron, Casanova Brown, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Cedric Gibbons,  William Ferrari;  Interior Decoration:  Edwin B. Willis,  Paul Huldschinsky", Gaslight, True, 
ART DIRECTION (Black-and-White), "Art Direction:  Lyle Wheeler,  Leland Fuller;  Interior Decoration:  Thomas Little", Laura, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Hans Dreier,  Robert Usher;  Interior Decoration:  Sam Comer", No Time for Love, False, 
ART DIRECTION (Black-and-White), Art Direction:  Mark-Lee Kirk;  Interior Decoration:  Victor A. Gangelin, Since You Went Away, False, 
ART DIRECTION (Black-and-White), Song of the Open Road, Song of the Open Road, False, 
ART DIRECTION (Black-and-White), "Art Direction:  Albert S. D'Agostino,  Carroll Clark;  Interior Decoration:  Darrell Silvera,  Claude Carpenter", Step Lively, False, 
ART DIRECTION (Color), "Art Direction:  John B. Goodman,  Alexander Golitzen;  Interior Decoration:  Russell A. Gausman,  Ira S. Webb", The Climax, False, 
ART DIRECTION (Color), "Art Direction:  Lionel Banks,  Cary Odell;  Interior Decoration:  Fay Babcock", Cover Girl, False, 
ART DIRECTION (Color), Art Direction:  Charles Novi;  Interior Decoration:  Jack McConaghy, The Desert Song, False, 
ART DIRECTION (Color), "Art Direction:  Cedric Gibbons,  Daniel B. Cathcart;  Interior Decoration:  Edwin B. Willis,  Richard Pefferle", Kismet, False, 
ART DIRECTION (Color), "Art Direction:  Hans Dreier,  Raoul Pene du Bois;  Interior Decoration:  Ray Moyer", Lady in the Dark, False, 
ART DIRECTION (Color), Art Direction:  Ernst Fegte;  Interior Decoration:  Howard Bristol, The Princess and the Pirate, False, 
ART DIRECTION (Color), Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little, Wilson, True, 
CINEMATOGRAPHY (Black-and-White), John Seitz, Double Indemnity, False, 
CINEMATOGRAPHY (Black-and-White), Sidney Wagner, Dragon Seed, False, 
CINEMATOGRAPHY (Black-and-White), Joseph Ruttenberg, Gaslight, False, 
CINEMATOGRAPHY (Black-and-White), Lionel Lindon, Going My Way, False, 
CINEMATOGRAPHY (Black-and-White), Joseph LaShelle, Laura, True, 
CINEMATOGRAPHY (Black-and-White), Glen MacWilliams, Lifeboat, False, 
CINEMATOGRAPHY (Black-and-White), "Stanley Cortez,  Lee Garmes", Since You Went Away, False, 
CINEMATOGRAPHY (Black-and-White), "Robert Surtees,  Harold Rosson", Thirty Seconds over Tokyo, False, 
CINEMATOGRAPHY (Black-and-White), Charles Lang, The Uninvited, False, 
CINEMATOGRAPHY (Black-and-White), George Folsey, The White Cliffs of Dover, False, 
